Payment_ID,Policy_ID,Customer_ID,Payment_Date,Payment_Amount,Payment_Method,Payment_Status,Payment_Type
PAY000036,POL000014,C02901,2025-08-08,4470.83,Auto-Debit,Paid,Premium
PAY000037,POL000014,C02901,2025-09-07,4470.83,UPI,Paid,Premium
PAY000038,POL000014,C02901,2025-10-07,4470.83,Debit Card,Paid,Premium
PAY000039,POL000014,C02901,2025-11-06,4470.83,Net Banking,Paid,Premium
PAY000040,POL000014,C02901,2025-12-06,4470.83,Cheque,Paid,Premium
PAY000041,POL000015,C03769,2024-02-09,53950.0,Debit Card,Paid,Initial Payment
PAY000042,POL000015,C03769,2025-02-08,53950.0,Credit Card,Paid,Renewal
PAY000043,POL000016,C02697,2024-03-09,9520.0,Auto-Debit,Paid,Initial Payment
PAY000044,POL000016,C02697,2025-03-09,9520.0,Auto-Debit,Paid,Renewal
PAY000045,POL000017,C00959,2024-03-04,4770.0,Auto-Debit,Paid,Initial Payment
PAY000046,POL000017,C00959,2025-03-04,4770.0,Debit Card,Paid,Renewal
PAY000047,POL000018,C03199,2023-08-10,20000.0,UPI,Paid,Initial Payment
PAY000048,POL000019,C00754,2025-03-25,12720.0,Debit Card,Paid,Initial Payment
PAY000049,POL000020,C04017,2023-01-10,37600.0,UPI,Paid,Initial Payment
PAY000050,POL000020,C04017,2024-01-10,37600.0,Credit Card,Paid,Renewal
PAY000051,POL000021,C01874,2023-02-05,2730.83,Net Banking,Paid,Initial Payment
PAY000052,POL000021,C01874,2023-03-07,2730.83,Cheque,Paid,Premium
PAY000053,POL000021,C01874,2023-04-06,2730.83,Auto-Debit,Paid,Premium
PAY000054,POL000021,C01874,2023-07-05,2730.83,Auto-Debit,Paid,Premium
PAY000055,POL000021,C01874,2023-08-04,2730.83,Auto-Debit,Paid,Premium
PAY000056,POL000021,C01874,2023-09-03,2730.83,Credit Card,Paid,Premium
PAY000057,POL000021,C01874,2023-10-03,2730.83,Auto-Debit,Paid,Premium
PAY000058,POL000021,C01874,2024-01-31,2724.58,Net Banking,Failed,Premium
PAY000059,POL000022,C02425,2023-03-09,4450.0,Net Banking,Overdue,Initial Payment
PAY000060,POL000023,C03930,2025-01-15,4160.0,Debit Card,Paid,Initial Payment
PAY000061,POL000023,C03930,2025-02-14,4160.0,Auto-Debit,Paid,Premium
PAY000062,POL000023,C03930,2025-04-15,4160.0,Credit Card,Paid,Premium
PAY000063,POL000023,C03930,2025-07-14,4160.0,Auto-Debit,Paid,Premium
PAY000064,POL000023,C03930,2025-10-12,4160.0,Cheque,Paid,Premium
PAY000065,POL000023,C03930,2025-11-11,4160.0,Auto-Debit,Paid,Premium
PAY000066,POL000024,C04890,2024-08-05,17540.0,Credit Card,Paid,Initial Payment
PAY000067,POL000025,C02202,2025-05-14,21940.0,Debit Card,Paid,Initial Payment
PAY000068,POL000026,C00347,2025-06-08,6777.5,Cheque,Paid,Initial Payment
PAY000069,POL000026,C00347,2025-08-07,6777.5,Debit Card,Paid,Premium
PAY000070,POL000026,C00347,2025-10-06,6777.5,UPI,Paid,Premium
PAY000071,POL000026,C00347,2025-11-05,6777.5,Credit Card,Paid,Premium
PAY000072,POL000027,C03754,2024-06-27,3294.91,Cheque,Failed,Initial Payment
PAY000073,POL000027,C03754,2024-08-26,3300.83,Cheque,Paid,Premium
PAY000074,POL000027,C03754,2024-10-25,3300.83,Auto-Debit,Paid,Premium
PAY000075,POL000027,C03754,2024-11-24,3300.83,Cheque,Paid,Premium
PAY000076,POL000027,C03754,2025-01-23,3300.83,Credit Card,Paid,Premium
PAY000077,POL000027,C03754,2025-05-23,3300.83,Debit Card,Paid,Premium
PAY000078,POL000027,C03754,2025-06-22,3300.83,Cheque,Paid,Premium
PAY000079,POL000028,C01395,2025-09-03,54690.0,UPI,Paid,Initial Payment
PAY000080,POL000029,C03881,2024-08-12,5870.0,Auto-Debit,Paid,Initial Payment
PAY000081,POL000029,C03881,2025-08-12,5870.0,Net Banking,Paid,Renewal
PAY000082,POL000030,C02806,2025-05-08,72540.0,Cheque,Paid,Initial Payment
PAY000083,POL000031,C03084,2024-12-23,7002.5,UPI,Paid,Initial Payment
PAY000084,POL000031,C03084,2025-03-23,7002.5,UPI,Paid,Premium
PAY000085,POL000031,C03084,2025-05-22,7002.5,UPI,Paid,Premium
PAY000086,POL000031,C03084,2025-07-21,7002.5,Credit Card,Paid,Premium
PAY000087,POL000031,C03084,2025-08-20,7002.5,Cheque,Paid,Premium
PAY000088,POL000031,C03084,2025-10-19,7002.5,UPI,Paid,Premium
PAY000089,POL000031,C03084,2025-11-18,7002.5,UPI,Paid,Premium
PAY000090,POL000031,C03084,2025-12-18,7002.5,Credit Card,Paid,Premium
PAY000091,POL000032,C01120,2025-04-08,5460.0,Debit Card,Paid,Initial Payment
PAY000092,POL000032,C01120,2025-07-08,5460.0,UPI,Paid,Premium
PAY000093,POL000032,C01120,2025-10-07,5460.0,Cheque,Paid,Premium
PAY000094,POL000033,C02279,2023-05-24,5667.5,Auto-Debit,Paid,Initial Payment
PAY000095,POL000033,C02279,2023-06-23,5667.5,Debit Card,Paid,Premium
PAY000096,POL000033,C02279,2023-08-22,5667.5,Cheque,Paid,Premium
PAY000097,POL000033,C02279,2023-09-21,5667.5,Cheque,Paid,Premium
PAY000098,POL000033,C02279,2024-02-18,5667.5,Net Banking,Paid,Premium
PAY000099,POL000033,C02279,2024-05-18,5639.92,Debit Card,Pending,Premium
PAY000100,POL000033,C02279,2024-09-15,5667.5,Net Banking,Paid,Premium
PAY000101,POL000033,C02279,2024-11-14,5667.5,Auto-Debit,Paid,Premium
PAY000102,POL000033,C02279,2025-03-14,5667.5,Net Banking,Paid,Premium
PAY000103,POL000033,C02279,2025-04-13,5667.5,Credit Card,Paid,Premium
PAY000104,POL000033,C02279,2025-08-11,5667.5,Net Banking,Paid,Premium
PAY000105,POL000033,C02279,2025-09-10,5667.5,Auto-Debit,Paid,Premium
PAY000106,POL000033,C02279,2025-10-10,5667.5,Net Banking,Paid,Premium
PAY000107,POL000033,C02279,2025-11-09,5667.5,Cheque,Paid,Premium
PAY000108,POL000034,C04218,2025-01-25,39610.0,Cheque,Paid,Initial Payment
PAY000109,POL000035,C02976,2024-04-02,66280.0,Auto-Debit,Paid,Initial Payment
PAY000110,POL000036,C00866,2023-03-25,4610.0,Net Banking,Paid,Initial Payment
PAY000111,POL000036,C00866,2024-03-24,4610.0,UPI,Paid,Renewal
PAY000112,POL000036,C00866,2025-03-24,4610.0,Cheque,Paid,Renewal
PAY000113,POL000037,C00383,2023-12-12,5975.83,Credit Card,Paid,Initial Payment
PAY000114,POL000037,C00383,2024-02-10,5975.83,Credit Card,Paid,Premium
PAY000115,POL000037,C00383,2024-03-11,5890.73,Auto-Debit,Pending,Premium
PAY000116,POL000037,C00383,2024-04-10,5975.83,Auto-Debit,Paid,Premium
PAY000117,POL000037,C00383,2024-06-09,5975.83,Net Banking,Paid,Premium
PAY000118,POL000037,C00383,2024-09-07,5975.83,Cheque,Paid,Premium
PAY000119,POL000037,C00383,2024-10-07,5975.83,Credit Card,Paid,Premium
PAY000120,POL000037,C00383,2024-12-06,5975.83,UPI,Paid,Premium
PAY000121,POL000037,C00383,2025-01-05,5975.83,Debit Card,Paid,Premium
PAY000122,POL000037,C00383,2025-05-05,5975.83,Net Banking,Paid,Premium
PAY000123,POL000037,C00383,2025-09-02,5975.83,Net Banking,Paid,Premium
PAY000124,POL000037,C00383,2025-12-31,5975.83,Auto-Debit,Paid,Premium
PAY000125,POL000038,C02561,2024-07-15,45030.0,UPI,Paid,Initial Payment
PAY000126,POL000038,C02561,2025-07-15,45030.0,Auto-Debit,Paid,Renewal
PAY000127,POL000039,C01297,2024-04-19,5913.51,Auto-Debit,Failed,Initial Payment
PAY000128,POL000039,C01297,2025-04-19,6030.0,Net Banking,Paid,Renewal
PAY000129,POL000040,C01821,2024-11-26,34500.0,Net Banking,Paid,Initial Payment
PAY000130,POL000041,C03651,2023-10-14,3010.0,Auto-Debit,Overdue,Initial Payment
PAY000131,POL000042,C00633,2024-03-11,9069.17,UPI,Paid,Initial Payment
PAY000132,POL000042,C00633,2024-06-09,9069.17,Debit Card,Paid,Premium
PAY000133,POL000042,C00633,2024-08-08,9069.17,UPI,Paid,Premium
PAY000134,POL000042,C00633,2024-10-07,9069.17,Credit Card,Paid,Premium
PAY000135,POL000042,C00633,2024-11-06,9069.17,Credit Card,Paid,Premium
PAY000136,POL000042,C00633,2024-12-06,9069.17,Debit Card,Paid,Premium
PAY000137,POL000042,C00633,2025-01-05,9069.17,UPI,Paid,Premium
PAY000138,POL000042,C00633,2025-03-06,9069.17,Auto-Debit,Paid,Premium
PAY000139,POL000042,C00633,2025-06-04,9069.17,Auto-Debit,Paid,Premium
PAY000140,POL000042,C00633,2025-08-03,9069.17,Debit Card,Paid,Premium
PAY000141,POL000042,C00633,2025-09-02,9069.17,UPI,Paid,Premium
PAY000142,POL000042,C00633,2025-11-01,9069.17,UPI,Paid,Premium
PAY000143,POL000042,C00633,2025-12-01,9069.17,Net Banking,Paid,Premium
PAY000144,POL000043,C04062,2023-09-08,22550.0,Debit Card,Paid,Initial Payment
PAY000145,POL000044,C01837,2025-09-27,2963.33,Auto-Debit,Paid,Initial Payment
PAY000146,POL000044,C01837,2025-11-26,2963.33,UPI,Paid,Premium
PAY000147,POL000044,C01837,2025-12-26,2963.33,Cheque,Paid,Premium
PAY000148,POL000045,C02493,2023-01-15,38220.0,Debit Card,Paid,Initial Payment
PAY000149,POL000045,C02493,2024-01-15,38220.0,Auto-Debit,Paid,Renewal
PAY000150,POL000046,C00796,2024-04-14,10010.0,Debit Card,Paid,Initial Payment
PAY000151,POL000046,C00796,2024-09-11,10010.0,Auto-Debit,Paid,Premium
PAY000152,POL000046,C00796,2024-12-10,10010.0,UPI,Paid,Premium
PAY000153,POL000046,C00796,2025-02-08,10010.0,Credit Card,Paid,Premium
PAY000154,POL000046,C00796,2025-03-10,10010.0,Credit Card,Paid,Premium
PAY000155,POL000047,C04844,2025-04-03,130650.0,Net Banking,Paid,Initial Payment
PAY000156,POL000048,C02899,2024-04-27,37000.0,Cheque,Paid,Initial Payment
PAY000157,POL000048,C02899,2025-04-27,37000.0,Auto-Debit,Paid,Renewal
PAY000158,POL000049,C02831,2024-08-30,6400.0,UPI,Paid,Initial Payment
PAY000159,POL000049,C02831,2025-08-30,6400.0,Net Banking,Paid,Renewal
PAY000160,POL000050,C02876,2023-01-19,13690.0,Credit Card,Paid,Initial Payment
PAY000161,POL000050,C02876,2023-10-19,13690.0,Net Banking,Paid,Premium
PAY000162,POL000050,C02876,2024-01-18,13690.0,UPI,Paid,Premium
PAY000163,POL000050,C02876,2024-04-18,13690.0,Debit Card,Paid,Premium
PAY000164,POL000050,C02876,2024-07-18,13690.0,Credit Card,Paid,Premium
PAY000165,POL000050,C02876,2025-01-16,13584.74,UPI,Pending,Premium
PAY000166,POL000050,C02876,2025-07-17,13690.0,Net Banking,Paid,Premium
PAY000167,POL000051,C04119,2023-12-20,40580.0,Cheque,Paid,Initial Payment
PAY000168,POL000051,C04119,2024-12-19,40580.0,Auto-Debit,Paid,Renewal
PAY000169,POL000052,C01825,2024-02-15,75370.0,Net Banking,Paid,Initial Payment
PAY000170,POL000053,C03600,2024-06-12,1586.67,UPI,Paid,Initial Payment
PAY000171,POL000053,C03600,2024-09-10,1586.67,Net Banking,Paid,Premium
PAY000172,POL000053,C03600,2024-10-10,1586.67,Auto-Debit,Paid,Premium
PAY000173,POL000053,C03600,2024-11-09,1586.67,Credit Card,Paid,Premium
PAY000174,POL000053,C03600,2025-02-07,1586.67,Credit Card,Paid,Premium
PAY000175,POL000053,C03600,2025-03-09,1586.67,Credit Card,Paid,Premium
PAY000176,POL000053,C03600,2025-05-08,1586.67,Net Banking,Paid,Premium
PAY000177,POL000053,C03600,2025-06-07,1586.67,Debit Card,Paid,Premium
PAY000178,POL000053,C03600,2025-11-04,1586.67,Cheque,Paid,Premium
PAY000179,POL000054,C04809,2024-11-11,220.0,Debit Card,Paid,Initial Payment
PAY000180,POL000054,C04809,2025-01-10,220.0,Credit Card,Paid,Premium
PAY000181,POL000054,C04809,2025-02-09,220.0,Credit Card,Paid,Premium
PAY000182,POL000054,C04809,2025-03-11,220.0,Net Banking,Paid,Premium
PAY000183,POL000054,C04809,2025-07-09,220.0,Cheque,Paid,Premium
PAY000184,POL000054,C04809,2025-08-08,220.0,Net Banking,Paid,Premium
PAY000185,POL000054,C04809,2025-09-07,220.0,UPI,Paid,Premium
PAY000186,POL000054,C04809,2025-10-07,220.0,Cheque,Paid,Premium
PAY000187,POL000054,C04809,2025-12-06,220.0,Debit Card,Paid,Premium
PAY000188,POL000055,C00651,2023-05-05,18350.0,Debit Card,Paid,Initial Payment
PAY000189,POL000055,C00651,2024-05-04,18350.0,Net Banking,Paid,Renewal
PAY000190,POL000056,C01542,2025-05-30,36060.0,UPI,Paid,Initial Payment
PAY000191,POL000057,C01956,2024-11-18,18800.0,UPI,Paid,Initial Payment
PAY000192,POL000058,C04756,2024-06-09,2240.0,UPI,Paid,Initial Payment
PAY000193,POL000058,C04756,2025-06-09,2240.0,Net Banking,Paid,Renewal
PAY000194,POL000059,C00365,2023-08-02,6125.0,Cheque,Paid,Initial Payment
PAY000195,POL000059,C00365,2023-10-01,6125.0,Debit Card,Paid,Premium
PAY000196,POL000059,C00365,2023-11-30,6125.0,Auto-Debit,Paid,Premium
PAY000197,POL000059,C00365,2023-12-30,6027.15,Net Banking,Failed,Premium
PAY000198,POL000059,C00365,2024-02-28,6125.0,UPI,Paid,Premium
PAY000199,POL000059,C00365,2024-03-29,6125.0,Debit Card,Paid,Premium
PAY000200,POL000059,C00365,2024-04-28,6125.0,Debit Card,Paid,Premium
PAY000201,POL000059,C00365,2024-05-28,6125.0,Cheque,Paid,Premium
PAY000202,POL000059,C00365,2024-06-27,6125.0,Auto-Debit,Paid,Premium
PAY000203,POL000059,C00365,2024-07-27,6125.0,Net Banking,Paid,Premium
PAY000204,POL000059,C00365,2024-12-24,6125.0,Net Banking,Paid,Premium
PAY000205,POL000059,C00365,2025-01-23,6125.0,Credit Card,Paid,Premium
PAY000206,POL000060,C02046,2024-07-23,16540.0,Debit Card,Paid,Initial Payment
PAY000207,POL000060,C02046,2025-07-23,16540.0,Cheque,Paid,Renewal
PAY000208,POL000061,C00827,2023-11-05,23257.5,Auto-Debit,Paid,Initial Payment
PAY000209,POL000061,C00827,2024-02-04,23257.5,UPI,Paid,Premium
PAY000210,POL000061,C00827,2025-11-02,22832.14,Auto-Debit,Pending,Premium
PAY000211,POL000062,C02686,2025-06-22,88740.0,Debit Card,Paid,Initial Payment
PAY000212,POL000063,C02099,2025-09-24,13130.0,Credit Card,Paid,Initial Payment
PAY000213,POL000064,C01095,2023-09-09,52260.0,Net Banking,Paid,Initial Payment
PAY000214,POL000065,C02743,2025-01-27,11310.0,Credit Card,Paid,Initial Payment
PAY000215,POL000066,C01266,2024-11-13,11350.0,Auto-Debit,Paid,Initial Payment
PAY000216,POL000066,C01266,2025-08-13,11350.0,Auto-Debit,Paid,Premium
PAY000217,POL000067,C02521,2024-12-28,17040.0,Credit Card,Paid,Initial Payment
PAY000218,POL000068,C00905,2025-03-02,24200.0,Credit Card,Paid,Initial Payment
PAY000219,POL000069,C02340,2025-08-02,12900.0,Debit Card,Paid,Initial Payment
PAY000220,POL000070,C01156,2024-02-26,13250.0,Cheque,Overdue,Initial Payment
PAY000221,POL000071,C02560,2023-10-08,27770.0,Credit Card,Paid,Initial Payment
PAY000222,POL000071,C02560,2024-10-07,27770.0,Debit Card,Paid,Renewal
PAY000223,POL000072,C04372,2024-05-14,53063.5,Debit Card,Failed,Initial Payment
PAY000224,POL000073,C01597,2023-03-05,2199.17,Net Banking,Paid,Initial Payment
PAY000225,POL000073,C01597,2023-04-04,2199.17,UPI,Paid,Premium
PAY000226,POL000073,C01597,2023-05-04,2199.17,Credit Card,Paid,Premium
PAY000227,POL000073,C01597,2023-06-03,2199.17,Debit Card,Paid,Premium
PAY000228,POL000073,C01597,2023-07-03,2199.17,Cheque,Paid,Premium
PAY000229,POL000073,C01597,2023-08-02,2199.17,UPI,Paid,Premium
PAY000230,POL000073,C01597,2023-09-01,2199.17,Cheque,Paid,Premium
PAY000231,POL000073,C01597,2023-12-30,2199.17,Auto-Debit,Paid,Premium
PAY000232,POL000073,C01597,2024-01-29,2196.21,Debit Card,Pending,Premium
PAY000233,POL000073,C01597,2024-03-29,2199.17,UPI,Paid,Premium
PAY000234,POL000073,C01597,2024-05-28,2199.17,Auto-Debit,Paid,Premium
PAY000235,POL000073,C01597,2024-07-27,2199.17,Credit Card,Paid,Premium
PAY000236,POL000073,C01597,2024-08-26,2166.66,Net Banking,Pending,Premium
PAY000237,POL000073,C01597,2024-09-25,2199.17,UPI,Paid,Premium
PAY000238,POL000073,C01597,2024-11-24,2199.17,UPI,Paid,Premium
PAY000239,POL000073,C01597,2024-12-24,2199.17,Auto-Debit,Paid,Premium
PAY000240,POL000073,C01597,2025-03-24,2199.17,Debit Card,Paid,Premium
PAY000241,POL000073,C01597,2025-06-22,2199.17,Credit Card,Paid,Premium
PAY000242,POL000073,C01597,2025-07-22,2199.17,Cheque,Paid,Premium
PAY000243,POL000073,C01597,2025-08-21,2199.17,Auto-Debit,Paid,Premium
PAY000244,POL000073,C01597,2025-10-20,2199.17,Cheque,Paid,Premium
PAY000245,POL000073,C01597,2025-12-19,2199.17,Auto-Debit,Paid,Premium
PAY000246,POL000074,C04684,2024-09-10,45540.0,Credit Card,Paid,Initial Payment
PAY000247,POL000075,C04689,2023-03-30,41180.0,UPI,Paid,Initial Payment
PAY000248,POL000075,C04689,2024-03-29,41180.0,UPI,Paid,Renewal
PAY000249,POL000076,C03147,2023-12-14,1650.0,Credit Card,Paid,Initial Payment
PAY000250,POL000076,C03147,2024-12-13,1617.84,Credit Card,Pending,Renewal
PAY000251,POL000077,C04161,2023-05-31,94700.0,Credit Card,Overdue,Initial Payment
PAY000252,POL000078,C03130,2023-04-22,7996.32,Credit Card,Pending,Initial Payment
PAY000253,POL000078,C03130,2024-04-21,8150.0,Auto-Debit,Paid,Renewal
PAY000254,POL000079,C04291,2024-01-01,15550.0,Net Banking,Paid,Initial Payment
PAY000255,POL000079,C04291,2024-07-01,15550.0,Credit Card,Paid,Premium
PAY000256,POL000079,C04291,2024-09-30,15550.0,Credit Card,Paid,Premium
PAY000257,POL000080,C04015,2023-04-09,2366.67,Debit Card,Paid,Initial Payment
PAY000258,POL000080,C04015,2023-05-09,2366.67,UPI,Paid,Premium
PAY000259,POL000080,C04015,2023-08-07,2325.86,Debit Card,Failed,Premium
PAY000260,POL000080,C04015,2023-09-06,2366.67,UPI,Paid,Premium
PAY000261,POL000080,C04015,2023-11-05,2355.3,Cheque,Failed,Premium
PAY000262,POL000080,C04015,2023-12-05,2366.67,Cheque,Paid,Premium
PAY000263,POL000080,C04015,2024-02-03,2366.67,Debit Card,Paid,Premium
PAY000264,POL000080,C04015,2024-03-04,2366.67,Net Banking,Paid,Premium
PAY000265,POL000080,C04015,2024-04-03,2366.67,Debit Card,Paid,Premium
PAY000266,POL000080,C04015,2024-08-01,2366.67,Auto-Debit,Paid,Premium
PAY000267,POL000080,C04015,2024-09-30,2366.67,Auto-Debit,Paid,Premium
PAY000268,POL000080,C04015,2024-10-30,2366.67,UPI,Paid,Premium
PAY000269,POL000080,C04015,2024-11-29,2366.67,Cheque,Paid,Premium
PAY000270,POL000080,C04015,2024-12-29,2366.67,Auto-Debit,Paid,Premium
PAY000271,POL000080,C04015,2025-01-28,2366.67,Cheque,Paid,Premium
PAY000272,POL000080,C04015,2025-02-27,2366.67,Debit Card,Paid,Premium
PAY000273,POL000081,C02534,2023-07-16,11280.0,Net Banking,Paid,Initial Payment
PAY000274,POL000081,C02534,2025-07-15,11280.0,Credit Card,Paid,Renewal
PAY000275,POL000082,C04014,2025-01-17,6720.0,UPI,Paid,Initial Payment
PAY000276,POL000082,C04014,2025-04-18,6619.35,UPI,Pending,Premium
PAY000277,POL000082,C04014,2025-07-18,6720.0,Auto-Debit,Paid,Premium
PAY000278,POL000083,C00230,2025-01-27,1666.67,Auto-Debit,Paid,Initial Payment
PAY000279,POL000083,C00230,2025-02-26,1666.67,Credit Card,Paid,Premium
PAY000280,POL000083,C00230,2025-03-28,1666.67,Net Banking,Paid,Premium
PAY000281,POL000083,C00230,2025-06-26,1666.67,Cheque,Paid,Premium
PAY000282,POL000083,C00230,2025-10-24,1666.67,Credit Card,Paid,Premium
PAY000283,POL000083,C00230,2025-12-23,1652.07,UPI,Pending,Premium
PAY000284,POL000084,C01821,2023-05-21,11220.0,Credit Card,Paid,Initial Payment
PAY000285,POL000085,C01518,2025-07-06,12260.0,Cheque,Paid,Initial Payment
PAY000286,POL000086,C01181,2024-06-07,2741.67,Cheque,Paid,Initial Payment
PAY000287,POL000086,C01181,2024-10-05,2741.67,Auto-Debit,Paid,Premium
PAY000288,POL000086,C01181,2024-11-04,2741.67,Debit Card,Paid,Premium
PAY000289,POL000086,C01181,2025-01-03,2741.67,Auto-Debit,Paid,Premium
PAY000290,POL000086,C01181,2025-02-02,2741.67,Net Banking,Paid,Premium
PAY000291,POL000086,C01181,2025-03-04,2741.67,UPI,Paid,Premium
PAY000292,POL000086,C01181,2025-04-03,2741.67,Cheque,Paid,Premium
PAY000293,POL000086,C01181,2025-06-02,2709.15,Cheque,Failed,Premium
PAY000294,POL000086,C01181,2025-08-01,2741.67,Auto-Debit,Paid,Premium
PAY000295,POL000086,C01181,2025-10-30,2741.67,Debit Card,Paid,Premium
PAY000296,POL000086,C01181,2025-12-29,2741.67,Cheque,Paid,Premium
PAY000297,POL000087,C03732,2024-08-29,5030.0,Net Banking,Paid,Initial Payment
PAY000298,POL000088,C04354,2025-07-12,52130.0,Cheque,Paid,Initial Payment
PAY000299,POL000089,C02447,2024-08-13,78620.0,UPI,Paid,Initial Payment
PAY000300,POL000089,C02447,2025-08-13,78620.0,Credit Card,Paid,Renewal
PAY000301,POL000090,C02796,2023-04-23,25450.0,Net Banking,Overdue,Initial Payment
PAY000302,POL000091,C04137,2024-04-04,11980.0,Auto-Debit,Paid,Initial Payment
PAY000303,POL000091,C04137,2025-04-04,11980.0,Debit Card,Paid,Renewal
PAY000304,POL000092,C04191,2024-09-08,56570.0,Auto-Debit,Paid,Initial Payment
PAY000305,POL000092,C04191,2025-09-08,56570.0,Cheque,Paid,Renewal
PAY000306,POL000093,C02499,2024-02-17,29120.0,Credit Card,Paid,Initial Payment
PAY000307,POL000094,C01647,2023-04-30,40630.0,Net Banking,Paid,Initial Payment
PAY000308,POL000095,C02036,2023-03-05,4620.0,Credit Card,Paid,Initial Payment
PAY000309,POL000095,C02036,2023-06-04,4620.0,Net Banking,Paid,Premium
PAY000310,POL000095,C02036,2024-03-03,4620.0,Cheque,Paid,Premium
PAY000311,POL000096,C00685,2023-10-23,5270.0,Net Banking,Paid,Initial Payment
PAY000312,POL000096,C00685,2023-12-22,5270.0,UPI,Paid,Premium
PAY000313,POL000096,C00685,2024-01-21,5270.0,Credit Card,Paid,Premium
PAY000314,POL000096,C00685,2024-02-20,5270.0,Auto-Debit,Paid,Premium
PAY000315,POL000096,C00685,2024-04-20,5270.0,Cheque,Paid,Premium
PAY000316,POL000096,C00685,2024-06-19,5270.0,Net Banking,Paid,Premium
PAY000317,POL000096,C00685,2024-09-17,5270.0,Auto-Debit,Paid,Premium
PAY000318,POL000096,C00685,2024-10-17,5270.0,Credit Card,Paid,Premium
PAY000319,POL000096,C00685,2025-02-14,5270.0,UPI,Paid,Premium
PAY000320,POL000096,C00685,2025-06-14,5270.0,Debit Card,Paid,Premium
PAY000321,POL000096,C00685,2025-07-14,5270.0,Net Banking,Paid,Premium
PAY000322,POL000096,C00685,2025-08-13,5270.0,Cheque,Paid,Premium
PAY000323,POL000096,C00685,2025-09-12,5270.0,Auto-Debit,Paid,Premium
PAY000324,POL000096,C00685,2025-10-12,5270.0,UPI,Paid,Premium
PAY000325,POL000096,C00685,2025-11-11,5270.0,Debit Card,Paid,Premium
PAY000326,POL000097,C00152,2024-11-02,4417.5,UPI,Paid,Initial Payment
PAY000327,POL000097,C00152,2025-01-31,4417.5,Auto-Debit,Paid,Premium
PAY000328,POL000097,C00152,2025-03-02,4417.5,Credit Card,Paid,Premium
PAY000329,POL000097,C00152,2025-06-30,4417.5,Net Banking,Paid,Premium
PAY000330,POL000097,C00152,2025-07-30,4417.5,Debit Card,Paid,Premium
PAY000331,POL000097,C00152,2025-10-28,4417.5,UPI,Paid,Premium
