Policy_ID,Customer_ID,Policy_Type,Policy_Start_Date,Policy_End_Date,Premium_Amount,Sum_Assured,Payment_Frequency,Policy_Status,Policy_Term_Years,Risk_Category,Agent_ID,Acquisition_Channel
POL000019,C00754,Motor,2025-03-25,2026-03-25,12720.0,363500.0,Annually,Active,1,Medium,A0053,Agent
POL000020,C04017,Health,2023-01-10,2024-01-10,37600.0,1000000.0,Annually,Expired,1,Medium,A0022,Corporate
POL000021,C01874,Health,2023-02-05,2024-02-05,32770.0,750000.0,Monthly,Expired,1,Low,A0040,Bancassurance
POL000022,C02425,Travel,2023-03-09,2023-05-01,4450.0,370900.0,Annually,Lapsed,1,Medium,A0099,Online
POL000023,C03930,Life,2025-01-15,2040-01-15,49920.0,2587100.0,Monthly,Active,15,Low,A0095,Agent
POL000024,C04890,Motor,2024-08-05,2025-08-05,17540.0,501100.0,Annually,Expired,1,Medium,A0075,Agent
POL000025,C02202,Motor,2025-05-14,2026-05-14,21940.0,737600.0,Annually,Active,1,Low,A0044,Agent
POL000026,C00347,Life,2025-06-08,2050-06-08,81330.0,3057400.0,Monthly,Active,25,Medium,A0100,Agent
POL000027,C03754,Health,2024-06-27,2025-06-27,39610.0,1000000.0,Monthly,Expired,1,Low,A0001,Online
POL000028,C01395,Motor,2025-09-03,2026-09-03,54690.0,1202100.0,Annually,Active,1,High,A0006,Bancassurance
POL000029,C03881,Home,2024-08-12,2034-08-12,5870.0,3137300.0,Annually,Active,10,Low,A0068,Referral
POL000030,C02806,Motor,2025-05-08,2026-05-08,72540.0,1594200.0,Annually,Active,1,High,A0098,Agent
POL000031,C03084,Life,2024-12-23,2044-12-23,84030.0,3751200.0,Monthly,Active,20,Medium,A0089,Referral
POL000032,C01120,Health,2025-04-08,2026-04-08,21840.0,500000.0,Quarterly,Active,1,Low,A0093,Online
POL000033,C02279,Life,2023-05-24,2043-05-24,68010.0,3525000.0,Monthly,Active,20,Low,A0028,Corporate
POL000034,C04218,Health,2025-01-25,2028-01-25,39610.0,1000000.0,Annually,Active,3,Low,A0082,Referral
POL000035,C02976,Life,2024-04-02,2054-04-02,66280.0,3435000.0,Annually,Active,30,Low,A0018,Agent
POL000036,C00866,Home,2023-03-25,2028-03-25,4610.0,2093300.0,Annually,Active,5,Medium,A0044,Agent
POL000037,C00383,Life,2023-12-12,2053-12-12,71710.0,3870000.0,Monthly,Active,30,Low,A0009,Agent
POL000038,C02561,Motor,2024-07-15,2025-07-15,45030.0,989700.0,Annually,Expired,1,High,A0051,Bancassurance
POL000039,C01297,Motor,2024-04-19,2025-04-19,6030.0,172300.0,Annually,Expired,1,Medium,A0040,Agent
POL000040,C01821,Health,2024-11-26,2027-11-26,34500.0,750000.0,Annually,Lapsed,3,Medium,A0014,Agent
POL000041,C03651,Travel,2023-10-14,2023-10-28,3010.0,251000.0,Annually,Lapsed,1,Medium,A0030,Online
POL000042,C00633,Life,2024-03-11,2039-03-11,108830.0,6291000.0,Monthly,Active,15,Medium,A0045,Online
POL000043,C04062,Motor,2023-09-08,2024-09-07,22550.0,644400.0,Annually,Expired,1,Medium,A0095,Online
POL000044,C01837,Motor,2025-09-27,2026-09-27,35560.0,781500.0,Monthly,Active,1,High,A0002,Online
POL000045,C02493,Motor,2023-01-15,2024-01-15,38220.0,1284600.0,Annually,Expired,1,Low,A0090,Online
POL000046,C00796,Health,2024-04-14,2025-04-14,120120.0,1500000.0,Monthly,Expired,1,High,A0007,Agent
POL000047,C04844,Health,2025-04-03,2028-04-03,130650.0,1500000.0,Annually,Active,3,High,A0039,Online
POL000048,C02899,Motor,2024-04-27,2025-04-27,37000.0,1057200.0,Annually,Expired,1,Medium,A0082,Agent
POL000049,C02831,Home,2024-08-30,2029-08-28,6400.0,3421100.0,Annually,Active,5,Low,A0047,Online
POL000050,C02876,Life,2023-01-19,2048-01-19,54760.0,2955000.0,Quarterly,Active,25,Low,A0041,Online
POL000051,C04119,Motor,2023-12-20,2024-12-19,40580.0,1159300.0,Annually,Expired,1,Medium,A0061,Online
POL000052,C01825,Life,2024-02-15,2054-02-15,75370.0,2802000.0,Annually,Active,30,Medium,A0032,Agent
POL000053,C03600,Health,2024-06-12,2026-06-12,19040.0,500000.0,Monthly,Active,2,Low,A0021,Corporate
POL000054,C04809,Home,2024-11-11,2029-11-11,2640.0,1200300.0,Monthly,Active,5,Medium,A0050,Referral
POL000055,C00651,Motor,2023-05-05,2024-05-04,18350.0,524300.0,Annually,Expired,1,Medium,A0069,Referral
POL000056,C01542,Life,2025-05-30,2035-05-28,36060.0,2187000.0,Annually,Cancelled,10,Low,A0087,Online
POL000057,C01956,Health,2024-11-18,2026-11-18,18800.0,500000.0,Annually,Cancelled,2,Medium,A0047,Bancassurance
POL000058,C04756,Home,2024-06-09,2039-06-09,2240.0,1020300.0,Annually,Active,15,Medium,A0082,Online
POL000059,C00365,Health,2023-08-02,2025-08-02,73500.0,1500000.0,Monthly,Expired,2,Medium,A0081,Online
POL000060,C02046,Home,2024-07-23,2039-07-23,16540.0,7520300.0,Annually,Active,15,Medium,A0098,Corporate
POL000061,C00827,Life,2023-11-05,2038-11-05,93030.0,6438000.0,Quarterly,Active,15,Low,A0035,Bancassurance
POL000062,C02686,Life,2025-06-22,2045-06-22,88740.0,5553000.0,Annually,Active,20,Low,A0070,Agent
POL000063,C02099,Motor,2025-09-24,2026-09-24,13130.0,375000.0,Annually,Active,1,Medium,A0007,Agent
POL000064,C01095,Motor,2023-09-09,2024-09-08,52260.0,1493000.0,Annually,Expired,1,Medium,A0050,Online
POL000065,C02743,Home,2025-01-27,2035-01-27,11310.0,5141200.0,Annually,Active,10,Medium,A0068,Agent
POL000066,C01266,Health,2024-11-13,2025-11-13,45400.0,1000000.0,Quarterly,Expired,1,Medium,A0082,Agent
POL000067,C02521,Health,2024-12-28,2025-12-28,17040.0,300000.0,Annually,Expired,1,Medium,A0006,Online
POL000068,C00905,Health,2025-03-02,2027-03-02,24200.0,500000.0,Annually,Active,2,Medium,A0091,Corporate
POL000069,C02340,Health,2025-08-02,2028-08-02,12900.0,300000.0,Annually,Active,3,Medium,A0002,Agent
POL000070,C01156,Home,2024-02-26,2039-02-26,13250.0,7085200.0,Annually,Lapsed,15,Low,A0097,Referral
POL000071,C02560,Motor,2023-10-08,2024-10-07,27770.0,610400.0,Annually,Expired,1,High,A0021,Bancassurance
POL000072,C04372,Motor,2024-05-14,2025-05-14,53120.0,1517800.0,Annually,Lapsed,1,Medium,A0093,Referral
POL000073,C01597,Life,2023-03-05,2048-03-05,26390.0,1794300.0,Monthly,Active,25,Low,A0039,Online
POL000074,C04684,Motor,2024-09-10,2025-09-10,45540.0,1530600.0,Annually,Expired,1,Low,A0100,Bancassurance
POL000075,C04689,Motor,2023-03-30,2024-03-29,41180.0,1176500.0,Annually,Expired,1,Medium,A0058,Bancassurance
POL000076,C03147,Home,2023-12-14,2038-12-14,1650.0,883600.0,Annually,Active,15,Low,A0011,Agent
POL000077,C04161,Life,2023-05-31,2053-05-28,94700.0,3443600.0,Annually,Lapsed,30,Medium,A0065,Corporate
POL000078,C03130,Home,2023-04-22,2028-04-22,8150.0,3703300.0,Annually,Active,5,Medium,A0035,Online
POL000079,C04291,Health,2024-01-01,2025-01-01,62200.0,1000000.0,Quarterly,Expired,1,Medium,A0080,Corporate
POL000080,C04015,Health,2023-04-09,2025-04-09,28400.0,500000.0,Monthly,Expired,2,Medium,A0094,Corporate
POL000081,C02534,Health,2023-07-16,2025-07-16,11280.0,300000.0,Annually,Expired,2,Medium,A0025,Agent
POL000082,C04014,Life,2025-01-17,2045-01-17,26880.0,1734000.0,Quarterly,Active,20,Medium,A0097,Online
POL000083,C00230,Health,2025-01-27,2026-01-27,20000.0,500000.0,Monthly,Active,1,Medium,A0069,Agent
POL000084,C01821,Home,2023-05-21,2028-05-21,11220.0,5098500.0,Annually,Active,5,Medium,A0027,Agent
POL000085,C01518,Home,2025-07-06,2026-07-06,12260.0,5573400.0,Annually,Active,1,Medium,A0099,Corporate
POL000086,C01181,Health,2024-06-07,2027-06-07,32900.0,500000.0,Monthly,Active,3,Medium,A0016,Agent
POL000087,C03732,Travel,2024-08-29,2024-10-06,5030.0,493400.0,Annually,Expired,1,Low,A0047,Online
POL000088,C04354,Motor,2025-07-12,2026-07-12,52130.0,1489600.0,Annually,Active,1,Medium,A0019,Online
POL000089,C02447,Motor,2024-08-13,2025-08-13,78620.0,1727900.0,Annually,Expired,1,High,A0019,Online
POL000090,C02796,Motor,2023-04-23,2024-04-22,25450.0,727100.0,Annually,Lapsed,1,Medium,A0007,Online
POL000091,C04137,Home,2024-04-04,2039-04-04,11980.0,6408700.0,Annually,Active,15,Low,A0090,Online
POL000092,C04191,Motor,2024-09-08,2025-09-08,56570.0,1616300.0,Annually,Expired,1,Medium,A0040,Corporate
POL000093,C02499,Motor,2024-02-17,2025-02-16,29120.0,832000.0,Annually,Expired,1,Medium,A0009,Agent
POL000094,C01647,Health,2023-04-30,2024-04-28,40630.0,1000000.0,Annually,Expired,1,Low,A0079,Agent
POL000095,C02036,Health,2023-03-05,2024-03-05,18480.0,300000.0,Quarterly,Expired,1,Medium,A0039,Online
POL000096,C00685,Health,2023-10-23,2026-10-23,63240.0,1500000.0,Monthly,Active,3,Low,A0056,Agent
POL000097,C00152,Life,2024-11-02,2034-11-02,53010.0,3165900.0,Monthly,Active,10,Low,A0022,Referral
POL000098,C02490,Motor,2025-03-26,2026-03-26,37620.0,1074700.0,Annually,Active,1,Medium,A0093,Online
POL000099,C04103,Life,2023-12-07,2038-12-07,51350.0,1930400.0,Quarterly,Active,15,Medium,A0035,Agent
POL000100,C00411,Health,2023-11-09,2026-11-09,17940.0,300000.0,Quarterly,Active,3,Medium,A0035,Agent
POL000101,C03482,Travel,2024-04-25,2024-05-15,2160.0,180100.0,Annually,Expired,1,Medium,A0022,Online
POL000102,C04183,Home,2024-09-04,2029-09-04,16000.0,7270600.0,Monthly,Lapsed,5,Medium,A0068,Agent
POL000103,C00795,Health,2024-05-13,2026-05-13,88400.0,2000000.0,Annually,Active,2,Low,A0040,Agent
POL000104,C02509,Life,2025-02-14,2035-02-14,84040.0,4799700.0,Quarterly,Active,10,Low,A0027,Agent
POL000105,C02966,Life,2023-12-04,2033-12-04,108050.0,4356700.0,Annually,Lapsed,10,Medium,A0032,Referral
POL000106,C04973,Motor,2023-11-16,2024-11-15,56210.0,1606000.0,Annually,Expired,1,Medium,A0006,Agent
POL000107,C01571,Motor,2025-02-13,2026-02-13,62010.0,1362800.0,Annually,Active,1,High,A0019,Agent
POL000108,C02962,Health,2023-09-18,2024-09-18,57400.0,1000000.0,Monthly,Expired,1,Medium,A0096,Online
POL000109,C04511,Health,2025-01-10,2028-01-10,60180.0,1500000.0,Quarterly,Active,3,Low,A0099,Agent
POL000110,C01493,Motor,2024-09-23,2025-09-23,5480.0,156600.0,Monthly,Expired,1,Medium,A0070,Agent
POL000111,C03283,Health,2024-09-23,2025-09-23,79300.0,1000000.0,Annually,Expired,1,High,A0038,Agent
POL000112,C01195,Life,2025-05-20,2045-05-20,140040.0,5934000.0,Quarterly,Active,20,Medium,A0059,Online
POL000113,C04898,Life,2024-11-18,2034-11-18,108450.0,5505000.0,Quarterly,Active,10,Medium,A0025,Corporate
POL000114,C02075,Motor,2024-11-08,2025-11-08,56380.0,1610900.0,Annually,Expired,1,Medium,A0073,Agent
POL000115,C04985,Health,2025-05-24,2026-05-24,11280.0,300000.0,Monthly,Active,1,Medium,A0050,Online
POL000116,C00439,Health,2023-02-14,2025-02-14,47800.0,1000000.0,Quarterly,Expired,2,Medium,A0033,Online
POL000117,C02431,Home,2023-01-03,2038-01-03,7610.0,4066900.0,Annually,Active,15,Low,A0074,Agent
POL000118,C00196,Health,2024-02-05,2025-02-05,20060.0,500000.0,Quarterly,Expired,1,Low,A0026,Agent
POL000119,C02836,Health,2024-03-06,2025-03-06,20310.0,500000.0,Quarterly,Expired,1,Low,A0068,Bancassurance
POL000120,C01986,Travel,2023-10-04,2023-11-01,3130.0,307100.0,Annually,Lapsed,1,Low,A0094,Agent
POL000121,C01528,Motor,2023-08-08,2024-08-07,42480.0,1213800.0,Annually,Expired,1,Medium,A0041,Agent
POL000122,C02867,Travel,2025-05-24,2025-06-23,4400.0,431800.0,Monthly,Expired,1,Low,A0024,Online
POL000123,C01693,Health,2024-06-12,2026-06-12,39400.0,1000000.0,Quarterly,Active,2,Medium,A0043,Agent
POL000124,C02026,Motor,2025-07-30,2026-07-30,58330.0,1666600.0,Annually,Active,1,Medium,A0079,Online
POL000125,C04933,Home,2023-02-17,2038-02-17,12620.0,6746800.0,Annually,Active,15,Low,A0016,Online
POL000126,C01413,Health,2024-12-31,2025-12-28,17040.0,300000.0,Monthly,Expired,1,Medium,A0074,Corporate
POL000127,C01091,Travel,2023-10-20,2023-11-23,2570.0,214400.0,Annually,Expired,1,Medium,A0091,Agent
POL000128,C00623,Health,2023-10-23,2026-10-23,18280.0,500000.0,Monthly,Active,3,Low,A0073,Agent
POL000129,C00681,Travel,2023-09-06,2023-10-30,1500.0,124400.0,Monthly,Expired,1,Medium,A0068,Agent
POL000130,C02586,Life,2025-01-30,2045-01-28,89690.0,4770600.0,Monthly,Active,20,Medium,A0015,Corporate
POL000131,C01161,Health,2024-09-28,2026-09-28,58600.0,1000000.0,Annually,Lapsed,2,Medium,A0015,Online
POL000132,C04210,Life,2024-07-08,2034-07-08,54220.0,3009000.0,Monthly,Active,10,Low,A0098,Agent
POL000133,C01845,Motor,2024-04-09,2025-04-09,58570.0,1673400.0,Annually,Expired,1,Medium,A0051,Corporate
POL000134,C00895,Life,2025-04-30,2035-04-28,259230.0,10206000.0,Monthly,Active,10,Medium,A0011,Bancassurance
POL000135,C02501,Health,2024-07-22,2026-07-22,21800.0,500000.0,Annually,Active,2,Medium,A0080,Online
POL000136,C01363,Health,2024-06-06,2025-06-06,28180.0,750000.0,Annually,Lapsed,1,Low,A0065,Agent
POL000137,C01358,Travel,2025-01-27,2025-02-27,1500.0,143700.0,Annually,Lapsed,1,Low,A0100,Online
POL000138,C00014,Motor,2023-02-25,2024-02-25,22630.0,646500.0,Annually,Expired,1,Medium,A0086,Corporate
POL000139,C03936,Motor,2023-04-16,2024-04-15,15240.0,435500.0,Annually,Expired,1,Medium,A0037,Agent
POL000140,C02768,Life,2025-04-19,2035-04-19,74550.0,3843000.0,Annually,Active,10,Medium,A0079,Agent
POL000141,C02190,Life,2023-05-10,2033-05-10,27840.0,1893000.0,Monthly,Active,10,Low,A0041,Referral
POL000142,C04091,Motor,2024-06-25,2025-06-25,47410.0,1354600.0,Annually,Expired,1,Medium,A0098,Agent
POL000143,C04261,Home,2025-09-30,2026-09-28,9460.0,5059400.0,Annually,Active,1,Low,A0084,Online
POL000144,C00366,Life,2025-01-18,2035-01-18,45450.0,2844000.0,Annually,Active,10,Low,A0027,Online
POL000145,C00484,Motor,2023-05-24,2024-05-23,39050.0,1115800.0,Monthly,Lapsed,1,Medium,A0027,Corporate
POL000146,C00345,Travel,2025-04-26,2025-05-31,2120.0,208200.0,Annually,Expired,1,Low,A0021,Online
POL000147,C00453,Life,2024-05-08,2054-05-08,39310.0,2160000.0,Annually,Active,30,Medium,A0044,Agent
POL000148,C03989,Home,2023-07-08,2028-07-08,4140.0,1882500.0,Annually,Active,5,Medium,A0023,Agent
POL000149,C04092,Health,2024-05-26,2025-05-26,31620.0,750000.0,Annually,Expired,1,Low,A0009,Agent
POL000150,C04469,Travel,2023-06-25,2023-07-22,9190.0,765800.0,Monthly,Expired,1,Medium,A0011,Corporate
POL000151,C04822,Motor,2024-08-06,2025-08-06,17780.0,390800.0,Annually,Expired,1,High,A0097,Corporate
POL000152,C01844,Home,2023-01-05,2024-01-05,13550.0,6160000.0,Annually,Expired,1,Medium,A0046,Agent
POL000153,C01463,Health,2023-02-08,2025-02-08,19550.0,500000.0,Monthly,Expired,2,Low,A0033,Agent
POL000154,C01812,Life,2025-08-15,2045-08-15,56560.0,3277700.0,Annually,Active,20,Low,A0023,Agent
POL000155,C04258,Home,2025-01-07,2030-01-07,11130.0,5952200.0,Annually,Lapsed,5,Low,A0064,Online
POL000156,C04317,Home,2023-09-09,2028-09-09,6270.0,2851200.0,Annually,Active,5,Medium,A0028,Online
POL000157,C03838,Motor,2023-11-25,2024-11-24,45680.0,1004100.0,Annually,Lapsed,1,High,A0086,Bancassurance
POL000158,C01173,Travel,2023-12-09,2024-01-05,9480.0,790400.0,Annually,Expired,1,Medium,A0056,Bancassurance
POL000159,C04779,Motor,2023-11-23,2024-11-22,45890.0,1311000.0,Annually,Expired,1,Medium,A0043,Bancassurance
POL000160,C04115,Health,2023-10-29,2024-10-28,31800.0,750000.0,Quarterly,Expired,1,Medium,A0078,Agent
POL000161,C03079,Life,2025-08-18,2055-08-18,72540.0,3798000.0,Monthly,Active,30,Medium,A0023,Referral
POL000162,C00872,Motor,2024-11-07,2025-11-07,52900.0,1511400.0,Annually,Expired,1,Medium,A0002,Agent
POL000163,C01688,Motor,2024-01-22,2025-01-21,49030.0,1400900.0,Annually,Expired,1,Medium,A0067,Corporate
POL000164,C03767,Motor,2025-04-23,2026-04-23,19620.0,560600.0,Annually,Active,1,Medium,A0026,Referral
POL000165,C02244,Motor,2023-09-14,2024-09-13,46570.0,1330600.0,Annually,Expired,1,Medium,A0075,Agent
POL000166,C02661,Travel,2025-08-05,2025-09-15,9300.0,774600.0,Annually,Expired,1,Medium,A0016,Bancassurance
POL000167,C03356,Health,2023-03-24,2024-03-24,13720.0,300000.0,Annually,Expired,1,Low,A0099,Corporate
POL000168,C02905,Motor,2025-04-01,2026-04-01,28640.0,818200.0,Annually,Active,1,Medium,A0002,Agent
POL000169,C03903,Motor,2023-11-07,2024-11-06,22220.0,488300.0,Annually,Expired,1,High,A0019,Agent
POL000170,C03253,Home,2024-05-28,2029-05-28,15440.0,7019500.0,Annually,Active,5,Medium,A0061,Agent
POL000171,C01902,Home,2023-03-04,2028-03-04,5040.0,2291900.0,Annually,Active,5,Medium,A0090,Agent
POL000172,C04722,Home,2023-12-29,2028-12-28,2720.0,1236200.0,Annually,Active,5,Medium,A0099,Bancassurance
POL000173,C03020,Health,2023-07-01,2024-07-01,29300.0,500000.0,Quarterly,Expired,1,Medium,A0083,Agent
POL000174,C02338,Life,2025-05-31,2045-05-28,56200.0,3306000.0,Monthly,Active,20,Low,A0044,Online
POL000175,C04998,Health,2025-03-12,2027-03-12,37060.0,1000000.0,Quarterly,Active,2,Low,A0008,Online
POL000176,C01135,Health,2024-01-31,2027-01-28,20300.0,500000.0,Quarterly,Active,3,Medium,A0076,Agent
POL000177,C02802,Motor,2023-07-25,2024-07-24,60000.0,1714200.0,Annually,Expired,1,Medium,A0094,Bancassurance
POL000178,C02043,Motor,2025-05-27,2026-05-27,45920.0,1543600.0,Annually,Active,1,Low,A0079,Online
POL000179,C01962,Home,2024-05-10,2034-05-10,2550.0,1364500.0,Annually,Lapsed,10,Low,A0033,Online
POL000180,C01271,Motor,2025-04-08,2026-04-08,30050.0,858700.0,Annually,Active,1,Medium,A0002,Agent
POL000181,C02143,Motor,2024-05-22,2025-05-22,28650.0,818700.0,Annually,Expired,1,Medium,A0093,Bancassurance
POL000182,C04673,Motor,2024-11-15,2025-11-15,61710.0,1356300.0,Annually,Expired,1,High,A0068,Online
POL000183,C04654,Motor,2023-11-25,2024-11-24,45330.0,1295300.0,Annually,Expired,1,Medium,A0097,Online
POL000184,C03878,Health,2024-03-24,2025-03-24,28400.0,500000.0,Quarterly,Expired,1,Medium,A0006,Agent
POL000185,C04733,Health,2024-12-13,2025-12-13,30000.0,750000.0,Annually,Expired,1,Medium,A0074,Agent
POL000186,C00261,Life,2023-02-10,2033-02-10,37140.0,2121000.0,Annually,Active,10,Low,A0053,Agent
POL000187,C01523,Health,2023-12-22,2025-12-22,30500.0,500000.0,Annually,Expired,2,Medium,A0010,Online
POL000188,C03262,Motor,2023-03-01,2024-02-29,59760.0,1707400.0,Annually,Expired,1,Medium,A0071,Agent
POL000189,C03215,Home,2024-01-22,2039-01-22,13730.0,7342300.0,Annually,Active,15,Low,A0040,Corporate
POL000190,C03421,Home,2025-03-28,2030-03-28,2780.0,1264000.0,Annually,Active,5,Medium,A0080,Agent
POL000191,C04785,Life,2023-07-27,2033-07-27,43880.0,2627800.0,Monthly,Active,10,Medium,A0020,Agent
POL000192,C04195,Home,2024-06-12,2034-06-12,12390.0,5630400.0,Annually,Active,10,Medium,A0039,Online
POL000193,C02382,Motor,2025-03-12,2026-03-12,57410.0,1261700.0,Annually,Active,1,High,A0016,Bancassurance
POL000194,C00767,Health,2025-06-24,2026-06-24,59420.0,1500000.0,Quarterly,Cancelled,1,Low,A0046,Agent
POL000195,C04388,Motor,2024-12-09,2025-12-09,12350.0,352800.0,Monthly,Expired,1,Medium,A0026,Bancassurance
POL000196,C03185,Life,2024-09-17,2034-09-17,28730.0,1890000.0,Annually,Active,10,Medium,A0045,Referral
POL000197,C02563,Life,2024-09-01,2054-09-01,39130.0,2410200.0,Quarterly,Active,30,Low,A0084,Bancassurance
POL000198,C00695,Health,2023-12-12,2025-12-12,31100.0,500000.0,Annually,Expired,2,Medium,A0065,Bancassurance
POL000199,C00837,Health,2024-11-18,2026-11-18,30450.0,750000.0,Quarterly,Active,2,Medium,A0032,Online
POL000200,C00635,Health,2024-03-20,2025-03-20,30470.0,750000.0,Quarterly,Expired,1,Low,A0004,Corporate
POL000201,C02351,Life,2023-11-12,2053-11-12,173510.0,7260000.0,Annually,Active,30,Medium,A0028,Bancassurance
POL000202,C01906,Health,2023-08-29,2024-08-28,17000.0,500000.0,Annually,Expired,1,Low,A0024,Corporate
POL000203,C03734,Motor,2023-03-18,2024-03-17,56870.0,1624800.0,Annually,Expired,1,Medium,A0040,Agent
POL000204,C02133,Health,2023-03-25,2026-03-25,16750.0,500000.0,Monthly,Active,3,Low,A0039,Agent
POL000205,C03134,Health,2023-06-05,2024-06-05,30900.0,750000.0,Monthly,Expired,1,Medium,A0032,Online
POL000206,C03916,Motor,2023-09-04,2024-09-03,68040.0,1495500.0,Annually,Expired,1,High,A0079,Bancassurance
POL000207,C01653,Life,2023-01-07,2043-01-07,34660.0,2169000.0,Annually,Lapsed,20,Low,A0086,Agent
POL000208,C02333,Motor,2024-02-13,2025-02-12,59410.0,1697600.0,Annually,Expired,1,Medium,A0050,Online
POL000209,C02645,Life,2025-02-15,2035-02-15,321330.0,12957000.0,Monthly,Active,10,Medium,A0055,Corporate
POL000210,C02978,Life,2024-02-01,2044-02-01,87510.0,4307900.0,Annually,Active,20,Low,A0047,Agent
POL000211,C00812,Health,2025-01-14,2026-01-14,90440.0,2000000.0,Quarterly,Active,1,Low,A0085,Bancassurance
POL000212,C01716,Travel,2023-04-21,2023-05-12,6270.0,522400.0,Annually,Lapsed,1,Medium,A0072,Agent
POL000213,C01871,Home,2025-03-01,2030-03-01,11690.0,6249900.0,Annually,Active,5,Low,A0065,Online
POL000214,C00066,Health,2023-07-23,2026-07-23,45730.0,1000000.0,Monthly,Active,3,Low,A0032,Bancassurance
POL000215,C03229,Health,2024-05-15,2026-05-15,12340.0,300000.0,Annually,Active,2,Low,A0013,Online
POL000216,C00276,Motor,2024-06-17,2025-06-17,40820.0,1166400.0,Annually,Expired,1,Medium,A0079,Bancassurance
POL000217,C00440,Motor,2024-08-29,2025-08-29,25860.0,739000.0,Monthly,Expired,1,Medium,A0055,Agent
POL000218,C00096,Life,2025-04-15,2040-04-15,44480.0,2763000.0,Annually,Active,15,Medium,A0071,Bancassurance
POL000219,C01010,Health,2023-03-19,2024-03-19,13110.0,300000.0,Annually,Expired,1,Low,A0041,Bancassurance
POL000220,C03869,Health,2023-12-10,2024-12-10,25400.0,500000.0,Monthly,Expired,1,Medium,A0099,Online
POL000221,C02421,Travel,2025-09-08,2025-09-23,5020.0,418300.0,Annually,Expired,1,Medium,A0028,Bancassurance
POL000222,C00974,Health,2024-12-04,2026-12-04,37600.0,1000000.0,Annually,Active,2,Medium,A0040,Online
POL000223,C03005,Life,2023-02-11,2038-02-11,43940.0,2546400.0,Quarterly,Active,15,Low,A0026,Agent
POL000224,C04964,Health,2023-12-24,2024-12-24,11270.0,300000.0,Monthly,Expired,1,Low,A0095,Corporate
POL000225,C01902,Motor,2023-02-27,2024-02-27,6670.0,190400.0,Annually,Expired,1,Medium,A0097,Agent
POL000226,C01994,Life,2023-06-23,2033-06-23,61390.0,4103600.0,Monthly,Active,10,Low,A0079,Referral
POL000227,C01049,Home,2025-01-09,2026-01-09,5970.0,2086900.0,Monthly,Active,1,High,A0007,Agent
POL000228,C01100,Motor,2025-06-23,2026-06-23,55680.0,1590800.0,Annually,Active,1,Medium,A0019,Referral
POL000229,C03183,Motor,2023-07-18,2024-07-17,35100.0,1179800.0,Annually,Expired,1,Low,A0056,Online
POL000230,C04790,Life,2023-06-04,2038-06-04,21910.0,1440000.0,Annually,Active,15,Low,A0055,Online
POL000231,C03389,Life,2025-05-14,2055-05-14,86630.0,4374000.0,Quarterly,Active,30,Low,A0090,Agent
POL000232,C02219,Home,2023-12-05,2038-12-05,4160.0,1891500.0,Annually,Lapsed,15,Medium,A0013,Referral
POL000233,C04226,Life,2025-02-22,2055-02-22,85730.0,4418900.0,Monthly,Cancelled,30,Medium,A0004,Online
